match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
2018-08-24,Bayern Munich,Hoffenheim,3,1,H,1.0,0.0,H,,16.0,8.0,5.0,5.0,2.0,21.0,7.0,2.0,1.0,4.0,0.0,0.0,bundesliga,1819,2,4,1,0,0,2018,8
2018-08-25,Fortuna Dusseldorf,Augsburg,1,2,A,1.0,0.0,H,,9.0,14.0,5.0,7.0,11.0,10.0,7.0,5.0,1.0,0.0,0.0,0.0,bundesliga,1819,-1,3,0,0,1,2018,8
2018-08-25,Freiburg,Ein Frankfurt,0,2,A,0.0,1.0,A,,22.0,10.0,6.0,2.0,7.0,12.0,6.0,4.0,1.0,2.0,0.0,0.0,bundesliga,1819,-2,2,0,0,1,2018,8
2018-08-25,Hertha,Nurnberg,1,0,H,1.0,0.0,H,,10.0,12.0,3.0,3.0,13.0,10.0,8.0,4.0,2.0,2.0,0.0,0.0,bundesliga,1819,1,1,1,0,0,2018,8
2018-08-25,M'gladbach,Leverkusen,2,0,H,0.0,0.0,D,,17.0,13.0,7.0,3.0,10.0,10.0,9.0,5.0,1.0,2.0,0.0,0.0,bundesliga,1819,2,2,1,0,0,2018,8
2018-08-25,Werder Bremen,Hannover,1,1,D,0.0,0.0,D,,15.0,13.0,3.0,4.0,5.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,bundesliga,1819,0,2,0,1,0,2018,8
2018-08-25,Wolfsburg,Schalke 04,2,1,H,1.0,0.0,H,,11.0,9.0,7.0,4.0,16.0,11.0,7.0,2.0,5.0,3.0,0.0,1.0,bundesliga,1819,1,3,1,0,0,2018,8
2018-08-26,Dortmund,RB Leipzig,4,1,H,3.0,1.0,H,,10.0,10.0,5.0,7.0,8.0,11.0,7.0,9.0,2.0,2.0,0.0,0.0,bundesliga,1819,3,5,1,0,0,2018,8
2018-08-26,Mainz,Stuttgart,1,0,H,0.0,0.0,D,,8.0,12.0,3.0,3.0,15.0,6.0,6.0,3.0,1.0,2.0,0.0,0.0,bundesliga,1819,1,1,1,0,0,2018,8
2018-08-31,Hannover,Dortmund,0,0,D,0.0,0.0,D,,7.0,8.0,0.0,3.0,11.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,bundesliga,1819,0,0,0,1,0,2018,8
2018-09-01,Augsburg,M'gladbach,1,1,D,1.0,0.0,H,,18.0,7.0,7.0,2.0,12.0,12.0,9.0,4.0,1.0,2.0,0.0,0.0,bundesliga,1819,0,2,0,1,0,2018,9
2018-09-01,Ein Frankfurt,Werder Bremen,1,2,A,0.0,1.0,A,,5.0,11.0,1.0,6.0,6.0,11.0,8.0,3.0,1.0,2.0,1.0,0.0,bundesliga,1819,-1,3,0,0,1,2018,9
2018-09-01,Hoffenheim,Freiburg,3,1,H,0.0,1.0,A,,20.0,9.0,7.0,4.0,13.0,14.0,6.0,4.0,1.0,2.0,0.0,0.0,bundesliga,1819,2,4,1,0,0,2018,9
2018-09-01,Leverkusen,Wolfsburg,1,3,A,1.0,1.0,D,,16.0,12.0,3.0,5.0,13.0,13.0,5.0,3.0,3.0,3.0,0.0,0.0,bundesliga,1819,-2,4,0,0,1,2018,9
2018-09-01,Nurnberg,Mainz,1,1,D,0.0,1.0,A,,19.0,6.0,4.0,1.0,10.0,11.0,5.0,1.0,2.0,2.0,0.0,0.0,bundesliga,1819,0,2,0,1,0,2018,9
2018-09-01,Stuttgart,Bayern Munich,0,3,A,0.0,1.0,A,,4.0,20.0,0.0,6.0,3.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,bundesliga,1819,-3,3,0,0,1,2018,9
2018-09-02,RB Leipzig,Fortuna Dusseldorf,1,1,D,0.0,0.0,D,,23.0,14.0,7.0,8.0,11.0,15.0,3.0,3.0,1.0,4.0,0.0,0.0,bundesliga,1819,0,2,0,1,0,2018,9
2018-09-02,Schalke 04,Hertha,0,2,A,0.0,1.0,A,,16.0,5.0,4.0,3.0,16.0,15.0,9.0,0.0,1.0,1.0,1.0,0.0,bundesliga,1819,-2,2,0,0,1,2018,9
2018-09-14,Dortmund,Ein Frankfurt,3,1,H,1.0,0.0,H,,10.0,5.0,6.0,2.0,11.0,11.0,7.0,1.0,0.0,1.0,0.0,0.0,bundesliga,1819,2,4,1,0,0,2018,9
2018-09-15,Bayern Munich,Leverkusen,3,1,H,2.0,1.0,H,,18.0,3.0,5.0,1.0,4.0,12.0,9.0,1.0,0.0,1.0,0.0,1.0,bundesliga,1819,2,4,1,0,0,2018,9
2018-09-15,Fortuna Dusseldorf,Hoffenheim,2,1,H,1.0,0.0,H,,8.0,18.0,4.0,5.0,10.0,19.0,0.0,9.0,1.0,2.0,0.0,0.0,bundesliga,1819,1,3,1,0,0,2018,9
2018-09-15,M'gladbach,Schalke 04,2,1,H,1.0,0.0,H,,15.0,15.0,4.0,6.0,5.0,12.0,6.0,6.0,0.0,4.0,0.0,0.0,bundesliga,1819,1,3,1,0,0,2018,9
2018-09-15,Mainz,Augsburg,2,1,H,0.0,0.0,D,,22.0,13.0,7.0,4.0,9.0,16.0,5.0,4.0,1.0,2.0,0.0,0.0,bundesliga,1819,1,3,1,0,0,2018,9
2018-09-15,RB Leipzig,Hannover,3,2,H,2.0,1.0,H,,15.0,16.0,6.0,8.0,12.0,12.0,4.0,12.0,4.0,4.0,0.0,0.0,bundesliga,1819,1,5,1,0,0,2018,9
2018-09-15,Wolfsburg,Hertha,2,2,D,0.0,0.0,D,,15.0,9.0,6.0,5.0,10.0,13.0,7.0,2.0,1.0,2.0,0.0,0.0,bundesliga,1819,0,4,0,1,0,2018,9
2018-09-16,Freiburg,Stuttgart,3,3,D,1.0,1.0,D,,12.0,11.0,5.0,6.0,13.0,11.0,5.0,8.0,3.0,4.0,1.0,0.0,bundesliga,1819,0,6,0,1,0,2018,9
2018-09-16,Werder Bremen,Nurnberg,1,1,D,1.0,0.0,H,,14.0,11.0,2.0,2.0,17.0,5.0,4.0,7.0,2.0,0.0,0.0,0.0,bundesliga,1819,0,2,0,1,0,2018,9
2018-09-21,Stuttgart,Fortuna Dusseldorf,0,0,D,0.0,0.0,D,,10.0,19.0,1.0,7.0,8.0,19.0,2.0,9.0,0.0,2.0,0.0,0.0,bundesliga,1819,0,0,0,1,0,2018,9
2018-09-22,Augsburg,Werder Bremen,2,3,A,1.0,2.0,A,,21.0,12.0,7.0,7.0,10.0,11.0,7.0,4.0,2.0,2.0,0.0,0.0,bundesliga,1819,-1,5,0,0,1,2018,9
2018-09-22,Hertha,M'gladbach,4,2,H,2.0,1.0,H,,16.0,17.0,7.0,4.0,9.0,13.0,8.0,7.0,2.0,2.0,0.0,0.0,bundesliga,1819,2,6,1,0,0,2018,9
2018-09-22,Hoffenheim,Dortmund,1,1,D,1.0,0.0,H,,17.0,8.0,5.0,2.0,12.0,10.0,4.0,4.0,2.0,1.0,0.0,1.0,bundesliga,1819,0,2,0,1,0,2018,9
2018-09-22,Nurnberg,Hannover,2,0,H,0.0,0.0,D,,14.0,9.0,6.0,3.0,16.0,7.0,9.0,3.0,3.0,1.0,0.0,1.0,bundesliga,1819,2,2,1,0,0,2018,9
2018-09-22,Schalke 04,Bayern Munich,0,2,A,0.0,1.0,A,,10.0,14.0,2.0,7.0,12.0,11.0,0.0,8.0,2.0,1.0,0.0,0.0,bundesliga,1819,-2,2,0,0,1,2018,9
2018-09-22,Wolfsburg,Freiburg,1,3,A,0.0,2.0,A,,17.0,12.0,9.0,8.0,12.0,17.0,7.0,7.0,0.0,3.0,0.0,0.0,bundesliga,1819,-2,4,0,0,1,2018,9
2018-09-23,Ein Frankfurt,RB Leipzig,1,1,D,1.0,0.0,H,,8.0,9.0,5.0,2.0,14.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0,bundesliga,1819,0,2,0,1,0,2018,9
2018-09-23,Leverkusen,Mainz,1,0,H,0.0,0.0,D,,18.0,12.0,5.0,5.0,12.0,13.0,7.0,4.0,2.0,2.0,0.0,0.0,bundesliga,1819,1,1,1,0,0,2018,9
2018-09-25,Bayern Munich,Augsburg,1,1,D,0.0,0.0,D,,16.0,12.0,8.0,4.0,6.0,15.0,8.0,4.0,3.0,2.0,0.0,0.0,bundesliga,1819,0,2,0,1,0,2018,9
2018-09-25,Freiburg,Schalke 04,1,0,H,0.0,0.0,D,,15.0,15.0,4.0,3.0,12.0,11.0,3.0,3.0,2.0,4.0,0.0,0.0,bundesliga,1819,1,1,1,0,0,2018,9
2018-09-25,Hannover,Hoffenheim,1,3,A,0.0,1.0,A,,17.0,17.0,8.0,9.0,12.0,13.0,8.0,5.0,2.0,2.0,0.0,0.0,bundesliga,1819,-2,4,0,0,1,2018,9
2018-09-25,Werder Bremen,Hertha,3,1,H,2.0,0.0,H,,14.0,12.0,6.0,2.0,13.0,9.0,2.0,3.0,1.0,3.0,0.0,0.0,bundesliga,1819,2,4,1,0,0,2018,9
2018-09-26,Dortmund,Nurnberg,7,0,H,2.0,0.0,H,,19.0,4.0,10.0,1.0,6.0,10.0,4.0,5.0,0.0,2.0,0.0,0.0,bundesliga,1819,7,7,1,0,0,2018,9
2018-09-26,Fortuna Dusseldorf,Leverkusen,1,2,A,0.0,0.0,D,,16.0,6.0,4.0,3.0,6.0,12.0,7.0,5.0,2.0,2.0,0.0,0.0,bundesliga,1819,-1,3,0,0,1,2018,9
2018-09-26,M'gladbach,Ein Frankfurt,3,1,H,0.0,0.0,D,,21.0,12.0,9.0,2.0,7.0,11.0,9.0,6.0,0.0,0.0,0.0,0.0,bundesliga,1819,2,4,1,0,0,2018,9
2018-09-26,Mainz,Wolfsburg,0,0,D,0.0,0.0,D,,11.0,12.0,2.0,4.0,13.0,15.0,5.0,11.0,1.0,2.0,0.0,0.0,bundesliga,1819,0,0,0,1,0,2018,9
2018-09-26,RB Leipzig,Stuttgart,2,0,H,1.0,0.0,H,,18.0,9.0,8.0,0.0,11.0,8.0,4.0,2.0,2.0,3.0,0.0,0.0,bundesliga,1819,2,2,1,0,0,2018,9
2018-09-28,Hertha,Bayern Munich,2,0,H,2.0,0.0,H,,6.0,25.0,4.0,5.0,14.0,10.0,1.0,14.0,3.0,1.0,0.0,0.0,bundesliga,1819,2,2,1,0,0,2018,9
2018-09-29,Hoffenheim,RB Leipzig,1,2,A,0.0,0.0,D,,13.0,18.0,6.0,7.0,4.0,14.0,4.0,8.0,1.0,3.0,0.0,0.0,bundesliga,1819,-1,3,0,0,1,2018,9
2018-09-29,Leverkusen,Dortmund,2,4,A,2.0,0.0,H,,14.0,16.0,6.0,10.0,11.0,12.0,6.0,8.0,1.0,1.0,0.0,0.0,bundesliga,1819,-2,6,0,0,1,2018,9
2018-09-29,Nurnberg,Fortuna Dusseldorf,3,0,H,1.0,0.0,H,,10.0,13.0,6.0,4.0,10.0,9.0,4.0,4.0,0.0,2.0,0.0,0.0,bundesliga,1819,3,3,1,0,0,2018,9
2018-09-29,Schalke 04,Mainz,1,0,H,1.0,0.0,H,,15.0,15.0,2.0,5.0,22.0,21.0,4.0,5.0,2.0,2.0,0.0,0.0,bundesliga,1819,1,1,1,0,0,2018,9
2018-09-29,Stuttgart,Werder Bremen,2,1,H,1.0,0.0,H,,18.0,14.0,5.0,3.0,15.0,14.0,6.0,8.0,3.0,4.0,0.0,1.0,bundesliga,1819,1,3,1,0,0,2018,9
2018-09-29,Wolfsburg,M'gladbach,2,2,D,1.0,1.0,D,,13.0,10.0,3.0,3.0,6.0,14.0,6.0,3.0,2.0,2.0,0.0,0.0,bundesliga,1819,0,4,0,1,0,2018,9
2018-09-30,Augsburg,Freiburg,4,1,H,2.0,0.0,H,,21.0,13.0,10.0,6.0,12.0,8.0,5.0,3.0,0.0,1.0,0.0,0.0,bundesliga,1819,3,5,1,0,0,2018,9
2018-09-30,Ein Frankfurt,Hannover,4,1,H,2.0,0.0,H,,15.0,4.0,7.0,1.0,16.0,11.0,3.0,4.0,1.0,2.0,0.0,0.0,bundesliga,1819,3,5,1,0,0,2018,9
2018-10-05,Werder Bremen,Wolfsburg,2,0,H,1.0,0.0,H,,15.0,10.0,5.0,4.0,12.0,13.0,7.0,5.0,1.0,2.0,0.0,0.0,bundesliga,1819,2,2,1,0,0,2018,10
2018-10-06,Bayern Munich,M'gladbach,0,3,A,0.0,2.0,A,,14.0,7.0,3.0,3.0,7.0,4.0,1.0,3.0,2.0,2.0,0.0,0.0,bundesliga,1819,-3,3,0,0,1,2018,10
2018-10-06,Dortmund,Augsburg,4,3,H,0.0,1.0,A,,20.0,12.0,8.0,6.0,5.0,29.0,9.0,6.0,1.0,7.0,0.0,0.0,bundesliga,1819,1,7,1,0,0,2018,10
2018-10-06,Fortuna Dusseldorf,Schalke 04,0,2,A,0.0,0.0,D,,9.0,15.0,3.0,5.0,17.0,15.0,4.0,6.0,3.0,1.0,0.0,0.0,bundesliga,1819,-2,2,0,0,1,2018,10
2018-10-06,Hannover,Stuttgart,3,1,H,2.0,0.0,H,,15.0,11.0,6.0,5.0,16.0,11.0,5.0,7.0,1.0,2.0,0.0,0.0,bundesliga,1819,2,4,1,0,0,2018,10
2018-10-06,Mainz,Hertha,0,0,D,0.0,0.0,D,,23.0,11.0,3.0,1.0,12.0,9.0,5.0,6.0,0.0,2.0,0.0,0.0,bundesliga,1819,0,0,0,1,0,2018,10
2018-10-07,Freiburg,Leverkusen,0,0,D,0.0,0.0,D,,7.0,14.0,1.0,0.0,11.0,12.0,3.0,4.0,3.0,1.0,0.0,0.0,bundesliga,1819,0,0,0,1,0,2018,10
2018-10-07,Hoffenheim,Ein Frankfurt,1,2,A,0.0,1.0,A,,20.0,6.0,4.0,4.0,15.0,16.0,6.0,0.0,2.0,4.0,0.0,1.0,bundesliga,1819,-1,3,0,0,1,2018,10
2018-10-07,RB Leipzig,Nurnberg,6,0,H,4.0,0.0,H,,18.0,3.0,8.0,0.0,11.0,12.0,6.0,1.0,0.0,1.0,0.0,1.0,bundesliga,1819,6,6,1,0,0,2018,10
2018-10-19,Ein Frankfurt,Fortuna Dusseldorf,7,1,H,3.0,0.0,H,,21.0,10.0,13.0,5.0,13.0,12.0,5.0,1.0,0.0,2.0,0.0,0.0,bundesliga,1819,6,8,1,0,0,2018,10
2018-10-20,Augsburg,RB Leipzig,0,0,D,0.0,0.0,D,,6.0,15.0,0.0,3.0,20.0,24.0,2.0,2.0,2.0,5.0,0.0,0.0,bundesliga,1819,0,0,0,1,0,2018,10
2018-10-20,Leverkusen,Hannover,2,2,D,1.0,1.0,D,,19.0,9.0,7.0,7.0,14.0,18.0,9.0,5.0,1.0,5.0,0.0,1.0,bundesliga,1819,0,4,0,1,0,2018,10
2018-10-20,Nurnberg,Hoffenheim,1,3,A,1.0,0.0,H,,7.0,20.0,2.0,12.0,8.0,9.0,1.0,7.0,4.0,2.0,0.0,0.0,bundesliga,1819,-2,4,0,0,1,2018,10
2018-10-20,Schalke 04,Werder Bremen,0,2,A,0.0,1.0,A,,14.0,8.0,4.0,3.0,13.0,9.0,3.0,1.0,1.0,4.0,0.0,0.0,bundesliga,1819,-2,2,0,0,1,2018,10
2018-10-20,Stuttgart,Dortmund,0,4,A,0.0,3.0,A,,13.0,12.0,5.0,4.0,7.0,5.0,10.0,2.0,0.0,0.0,0.0,0.0,bundesliga,1819,-4,4,0,0,1,2018,10
2018-10-20,Wolfsburg,Bayern Munich,1,3,A,0.0,1.0,A,,8.0,13.0,1.0,11.0,9.0,12.0,2.0,9.0,2.0,4.0,0.0,1.0,bundesliga,1819,-2,4,0,0,1,2018,10
2018-10-21,Hertha,Freiburg,1,1,D,1.0,1.0,D,,13.0,8.0,5.0,3.0,12.0,14.0,8.0,3.0,2.0,0.0,0.0,0.0,bundesliga,1819,0,2,0,1,0,2018,10
2018-10-21,M'gladbach,Mainz,4,0,H,1.0,0.0,H,,16.0,13.0,8.0,4.0,4.0,10.0,4.0,6.0,0.0,2.0,0.0,0.0,bundesliga,1819,4,4,1,0,0,2018,10
2018-10-26,Freiburg,M'gladbach,3,1,H,1.0,1.0,D,,13.0,11.0,7.0,2.0,9.0,12.0,3.0,10.0,1.0,1.0,0.0,0.0,bundesliga,1819,2,4,1,0,0,2018,10
2018-10-27,Dortmund,Hertha,2,2,D,1.0,1.0,D,,19.0,10.0,5.0,4.0,7.0,15.0,8.0,2.0,2.0,3.0,0.0,0.0,bundesliga,1819,0,4,0,1,0,2018,10
2018-10-27,Fortuna Dusseldorf,Wolfsburg,0,3,A,0.0,1.0,A,,8.0,18.0,1.0,6.0,12.0,11.0,4.0,9.0,3.0,6.0,0.0,0.0,bundesliga,1819,-3,3,0,0,1,2018,10
2018-10-27,Hannover,Augsburg,1,2,A,0.0,1.0,A,,17.0,9.0,4.0,4.0,15.0,16.0,5.0,4.0,2.0,3.0,0.0,0.0,bundesliga,1819,-1,3,0,0,1,2018,10
2018-10-27,Hoffenheim,Stuttgart,4,0,H,0.0,0.0,D,,22.0,6.0,10.0,0.0,11.0,9.0,6.0,3.0,1.0,1.0,0.0,1.0,bundesliga,1819,4,4,1,0,0,2018,10
2018-10-27,Mainz,Bayern Munich,1,2,A,0.0,1.0,A,,6.0,21.0,1.0,5.0,13.0,6.0,2.0,7.0,3.0,1.0,0.0,0.0,bundesliga,1819,-1,3,0,0,1,2018,10
2018-10-28,Nurnberg,Ein Frankfurt,1,1,D,0.0,0.0,D,,10.0,10.0,3.0,2.0,11.0,13.0,8.0,6.0,2.0,3.0,0.0,0.0,bundesliga,1819,0,2,0,1,0,2018,10
2018-10-28,RB Leipzig,Schalke 04,0,0,D,0.0,0.0,D,,15.0,6.0,2.0,0.0,11.0,13.0,7.0,4.0,3.0,2.0,0.0,0.0,bundesliga,1819,0,0,0,1,0,2018,10
2018-10-28,Werder Bremen,Leverkusen,2,6,A,0.0,3.0,A,,14.0,17.0,6.0,10.0,9.0,8.0,6.0,6.0,2.0,2.0,0.0,0.0,bundesliga,1819,-4,8,0,0,1,2018,10
2018-11-02,Stuttgart,Ein Frankfurt,0,3,A,0.0,2.0,A,,10.0,15.0,0.0,7.0,4.0,10.0,1.0,3.0,1.0,2.0,0.0,0.0,bundesliga,1819,-3,3,0,0,1,2018,11
2018-11-03,Augsburg,Nurnberg,2,2,D,1.0,0.0,H,,17.0,13.0,4.0,5.0,16.0,11.0,6.0,6.0,3.0,3.0,0.0,0.0,bundesliga,1819,0,4,0,1,0,2018,11
2018-11-03,Bayern Munich,Freiburg,1,1,D,0.0,0.0,D,,24.0,10.0,6.0,1.0,9.0,8.0,14.0,2.0,1.0,1.0,0.0,0.0,bundesliga,1819,0,2,0,1,0,2018,11
2018-11-03,Hertha,RB Leipzig,0,3,A,0.0,1.0,A,,12.0,25.0,5.0,11.0,6.0,11.0,3.0,7.0,2.0,1.0,0.0,0.0,bundesliga,1819,-3,3,0,0,1,2018,11
2018-11-03,Leverkusen,Hoffenheim,1,4,A,1.0,2.0,A,,21.0,10.0,9.0,4.0,6.0,17.0,6.0,7.0,0.0,2.0,0.0,0.0,bundesliga,1819,-3,5,0,0,1,2018,11
2018-11-03,Schalke 04,Hannover,3,1,H,0.0,0.0,D,,16.0,20.0,6.0,6.0,10.0,10.0,7.0,7.0,2.0,3.0,0.0,0.0,bundesliga,1819,2,4,1,0,0,2018,11
2018-11-03,Wolfsburg,Dortmund,0,1,A,0.0,1.0,A,,13.0,12.0,3.0,1.0,6.0,9.0,6.0,14.0,0.0,2.0,0.0,0.0,bundesliga,1819,-1,1,0,0,1,2018,11
2018-11-04,M'gladbach,Fortuna Dusseldorf,3,0,H,0.0,0.0,D,,21.0,13.0,7.0,6.0,15.0,8.0,10.0,4.0,1.0,2.0,0.0,0.0,bundesliga,1819,3,3,1,0,0,2018,11
2018-11-04,Mainz,Werder Bremen,2,1,H,1.0,0.0,H,,13.0,14.0,6.0,4.0,7.0,8.0,3.0,6.0,0.0,2.0,0.0,0.0,bundesliga,1819,1,3,1,0,0,2018,11
2018-11-09,Hannover,Wolfsburg,2,1,H,1.0,0.0,H,,10.0,19.0,4.0,9.0,14.0,8.0,3.0,5.0,4.0,2.0,0.0,0.0,bundesliga,1819,1,3,1,0,0,2018,11
2018-11-10,Dortmund,Bayern Munich,3,2,H,0.0,1.0,A,,11.0,9.0,5.0,3.0,4.0,8.0,0.0,6.0,3.0,3.0,0.0,0.0,bundesliga,1819,1,5,1,0,0,2018,11
2018-11-10,Fortuna Dusseldorf,Hertha,4,1,H,0.0,0.0,D,,20.0,11.0,9.0,5.0,15.0,15.0,2.0,6.0,1.0,3.0,0.0,1.0,bundesliga,1819,3,5,1,0,0,2018,11
2018-11-10,Freiburg,Mainz,1,3,A,0.0,2.0,A,,15.0,12.0,4.0,9.0,19.0,10.0,3.0,4.0,1.0,2.0,0.0,0.0,bundesliga,1819,-2,4,0,0,1,2018,11
2018-11-10,Hoffenheim,Augsburg,2,1,H,0.0,0.0,D,,18.0,22.0,7.0,7.0,14.0,6.0,6.0,6.0,1.0,1.0,0.0,0.0,bundesliga,1819,1,3,1,0,0,2018,11
2018-11-10,Nurnberg,Stuttgart,0,2,A,0.0,0.0,D,,10.0,13.0,3.0,4.0,14.0,10.0,3.0,9.0,1.0,0.0,0.0,0.0,bundesliga,1819,-2,2,0,0,1,2018,11
2018-11-10,Werder Bremen,M'gladbach,1,3,A,0.0,1.0,A,,20.0,16.0,5.0,6.0,7.0,2.0,9.0,5.0,0.0,0.0,0.0,0.0,bundesliga,1819,-2,4,0,0,1,2018,11
2018-11-11,Ein Frankfurt,Schalke 04,3,0,H,0.0,0.0,D,,14.0,5.0,4.0,1.0,7.0,13.0,10.0,4.0,0.0,2.0,0.0,0.0,bundesliga,1819,3,3,1,0,0,2018,11
2018-11-11,RB Leipzig,Leverkusen,3,0,H,1.0,0.0,H,,14.0,7.0,7.0,2.0,12.0,12.0,4.0,3.0,0.0,1.0,0.0,0.0,bundesliga,1819,3,3,1,0,0,2018,11
