player_slug,player_id,date_from,date_to,injury_type
courtois-thibaut,MVExOq3n,13.01.2026,15.01.2026,Rest
courtois-thibaut,MVExOq3n,25.11.2025,28.11.2025,Illness
courtois-thibaut,MVExOq3n,10.11.2025,21.11.2025,Muscle Injury
courtois-thibaut,MVExOq3n,16.03.2025,07.04.2025,Muscle Injury
courtois-thibaut,MVExOq3n,08.03.2025,10.03.2025,Rest
courtois-thibaut,MVExOq3n,25.02.2025,27.02.2025,Rest
courtois-thibaut,MVExOq3n,04.02.2025,06.02.2025,Rest
courtois-thibaut,MVExOq3n,15.01.2025,17.01.2025,Rest
courtois-thibaut,MVExOq3n,05.01.2025,07.01.2025,Rest
courtois-thibaut,MVExOq3n,23.10.2024,22.11.2024,Muscle Injury
courtois-thibaut,MVExOq3n,30.09.2024,17.10.2024,Muscle Injury
courtois-thibaut,MVExOq3n,10.08.2023,29.04.2024,Knee Injury
courtois-thibaut,MVExOq3n,18.05.2023,20.05.2023,Muscle Injury
courtois-thibaut,MVExOq3n,25.04.2023,28.04.2023,Illness
courtois-thibaut,MVExOq3n,25.03.2023,31.03.2023,Muscle Injury
courtois-thibaut,MVExOq3n,05.02.2023,17.02.2023,Leg Injury
courtois-thibaut,MVExOq3n,01.01.2023,06.01.2023,Injury
courtois-thibaut,MVExOq3n,02.10.2022,21.10.2022,Muscle Injury
courtois-thibaut,MVExOq3n,31.05.2022,23.07.2022,Muscle Injury
courtois-thibaut,MVExOq3n,13.05.2022,16.05.2022,Rest
courtois-thibaut,MVExOq3n,10.05.2022,11.05.2022,Abdominal strain
courtois-thibaut,MVExOq3n,19.01.2022,20.01.2022,Rest
courtois-thibaut,MVExOq3n,29.12.2021,01.01.2022,Illness
courtois-thibaut,MVExOq3n,02.12.2020,04.12.2020,Muscle Injury
courtois-thibaut,MVExOq3n,08.10.2020,15.10.2020,Injury
courtois-thibaut,MVExOq3n,09.03.2020,11.06.2020,Groin Injury
courtois-thibaut,MVExOq3n,02.10.2019,09.10.2019,Illness
courtois-thibaut,MVExOq3n,29.03.2019,24.04.2019,Thigh Injury
courtois-thibaut,MVExOq3n,07.01.2019,18.01.2019,Hip Injury
courtois-thibaut,MVExOq3n,09.05.2018,12.05.2018,Back Injury
courtois-thibaut,MVExOq3n,18.03.2018,07.04.2018,Thigh Injury
courtois-thibaut,MVExOq3n,19.01.2018,30.01.2018,Ankle Injury
courtois-thibaut,MVExOq3n,24.09.2017,25.09.2017,Head Injury
courtois-thibaut,MVExOq3n,16.04.2017,21.04.2017,Muscle Injury
courtois-thibaut,MVExOq3n,20.02.2017,25.02.2017,Illness
courtois-thibaut,MVExOq3n,12.05.2016,14.05.2016,Illness
alaba-david,hKx3nCTp,19.11.2025,19.12.2025,Muscle Injury
alaba-david,hKx3nCTp,20.10.2025,08.11.2025,Foot Injury
alaba-david,hKx3nCTp,29.04.2025,11.08.2025,Knee Injury
alaba-david,hKx3nCTp,24.04.2025,24.04.2025,Muscle Injury
alaba-david,hKx3nCTp,09.04.2025,12.04.2025,Overload
alaba-david,hKx3nCTp,04.02.2025,16.02.2025,Muscle Injury
alaba-david,hKx3nCTp,13.01.2025,18.01.2025,Knee Injury
alaba-david,hKx3nCTp,07.01.2024,06.01.2025,Knee Injury
alaba-david,hKx3nCTp,28.09.2023,18.10.2023,Muscle Injury
alaba-david,hKx3nCTp,19.04.2023,15.05.2023,Injury
alaba-david,hKx3nCTp,09.04.2023,11.04.2023,Muscle Injury
alaba-david,hKx3nCTp,22.02.2023,26.03.2023,Muscle Injury
alaba-david,hKx3nCTp,08.01.2023,03.02.2023,Calf Injury
alaba-david,hKx3nCTp,11.06.2022,12.06.2022,Muscle Injury
alaba-david,hKx3nCTp,07.05.2022,26.05.2022,Muscle Injury
alaba-david,hKx3nCTp,28.04.2022,03.05.2022,Groin Injury
alaba-david,hKx3nCTp,21.04.2022,25.04.2022,Thigh Injury
alaba-david,hKx3nCTp,25.02.2022,04.03.2022,Muscle Injury
alaba-david,hKx3nCTp,14.01.2022,15.01.2022,Muscle Injury
alaba-david,hKx3nCTp,24.12.2021,31.12.2021,Knee Injury
alaba-david,hKx3nCTp,21.12.2021,23.12.2021,Illness
