player_name,player_slug,player_id,team_name,team_slug,league
Courtois Thibaut,courtois-thibaut,MVExOq3n,Real Madrid,real-madrid,la_liga
Alaba David,alaba-david,hKx3nCTp,Real Madrid,real-madrid,la_liga
Alexander-Arnold Trent,alexander-arnold-trent,CEVJy6Bc,Real Madrid,real-madrid,la_liga
Asencio Raul,asencio-raul,rPco96rl,Real Madrid,real-madrid,la_liga
Carreras Alvaro,carreras-alvaro,ALGEzlma,Real Madrid,real-madrid,la_liga
Carvajal Daniel,carvajal-daniel,rZh5FTHE,Real Madrid,real-madrid,la_liga
Eder Militao,eder-militao,zX2Rm9YG,Real Madrid,real-madrid,la_liga
Garcia Fran,fran-garcia,tURBbW9S,Real Madrid,real-madrid,la_liga
Huijsen Dean,huijsen-dean,2V3qUZAd,Real Madrid,real-madrid,la_liga
Jimenez David,jimenez-david,6VlzPhd1,Real Madrid,real-madrid,la_liga
Mendy Ferland,mendy-ferland,KnytnSKl,Real Madrid,real-madrid,la_liga
Rudiger Antonio,rudiger-antonio,rZHXvTho,Real Madrid,real-madrid,la_liga
Valdepenas Victor,victor-valdepenas,vqc9f0mJ,Real Madrid,real-madrid,la_liga
Bellingham Jude,bellingham-jude,QNvlPm7s,Real Madrid,real-madrid,la_liga
Camavinga Eduardo,camavinga-eduardo,6ekYsPfO,Real Madrid,real-madrid,la_liga
Ceballos Dani,ceballos-dani,zPYmze7F,Real Madrid,real-madrid,la_liga
Cestero Sancho Jorge,cestero-sancho-jorge,YmPHScjk,Real Madrid,real-madrid,la_liga
Diaz Brahim,diaz-brahim,nm2Qvnyk,Real Madrid,real-madrid,la_liga
Guler Arda,guler-arda,CUU9qDpb,Real Madrid,real-madrid,la_liga
Tchouameni Aurelien,tchouameni-aurelien,QkiZum3e,Real Madrid,real-madrid,la_liga
Valverde Federico,valverde-federico,nscfER6B,Real Madrid,real-madrid,la_liga
Garcia Gonzalo,garcia-gonzalo,pWxyEyDA,Real Madrid,real-madrid,la_liga
Mastantuono Franco,mastantuono-franco,tpBPaidM,Real Madrid,real-madrid,la_liga
Mbappe Kylian,mbappe-kylian,Wn6E2SED,Real Madrid,real-madrid,la_liga
Rodrygo,rodrygo,zPUyR5Up,Real Madrid,real-madrid,la_liga
Vinicius Junior,vinicius-junior,CbwQ4Mws,Real Madrid,real-madrid,la_liga
Arbeloa Alvaro,arbeloa-alvaro,CO9bjrLo,Real Madrid,real-madrid,la_liga
Lunin Andriy,lunin-andriy,0S7ye9jr,Real Madrid,real-madrid,la_liga
Moran Ibanez Manuel Angel,moran-manuel-angel,67fjsJDM,Real Madrid,real-madrid,la_liga
Palacios Cesar,perez-cesar,8d2U9MPp,Real Madrid,real-madrid,la_liga
Pitarch Thiago,pitarch-pinar-thiago,GQciGBE5,Real Madrid,real-madrid,la_liga
Fran,perez-francisco-javier-gonzalez,Is0aEgM6,Real Madrid,real-madrid,la_liga
Mestre Sergio,mestre-sergio,0pOTEfAe,Real Madrid,real-madrid,la_liga
Navarro Jimenez Javier,navarro-jimenez-javier,QJTYO50T,Real Madrid,real-madrid,la_liga
Aguado Diego,aguado-facio-diego,fuqfyKfc,Real Madrid,real-madrid,la_liga
Martinez Joan,martinez-joan,MgVkWvVa,Real Madrid,real-madrid,la_liga
Fortuny Pol,fortuny-pol,vyNXDEP1,Real Madrid,real-madrid,la_liga
Arnuncio Adrian,arnun-adrian,ET782Esj,Real Madrid,real-madrid,la_liga
Leiva Alvaro,leiva-alvaro,KdNEDllH,Real Madrid,real-madrid,la_liga
Garcia Joan,garcia-joan,vuAlEqes,Barcelona,barcelona,la_liga
Szczesny Wojciech,szczesny-wojciech,6NtwHZ7F,Barcelona,barcelona,la_liga
Araujo Ronald,araujo-ronald,M3sbJix9,Barcelona,barcelona,la_liga
Balde Alejandro,balde-alejandro,6c0CXHVM,Barcelona,barcelona,la_liga
Cancelo Joao,cancelo-joao,dAyeWYpm,Barcelona,barcelona,la_liga
Christensen Andreas,christensen-andreas,ShxiZhJI,Barcelona,barcelona,la_liga
Cubarsi Pau,cubarsi-pau,UgTrNwCF,Barcelona,barcelona,la_liga
Garcia Eric,garcia-eric,AyxD3I5C,Barcelona,barcelona,la_liga
Kounde Jules,kounde-jules,v36QVRPu,Barcelona,barcelona,la_liga
Martin Gerard,martin-gerard,nBVu0v9a,Barcelona,barcelona,la_liga
Torrents Jofre,torrents-jofre,S4LQUJ92,Barcelona,barcelona,la_liga
Bernal Marc,bernal-marc,pf3IOiFD,Barcelona,barcelona,la_liga
Casado Marc,casado-marc,tAhLmeJb,Barcelona,barcelona,la_liga
Fermín,fermin,2c2ipETG,Barcelona,barcelona,la_liga
Marques Tommy,marques-tomas,6Do8lKsP,Barcelona,barcelona,la_liga
Olmo Dani,olmo-dani,2oVBOlPg,Barcelona,barcelona,la_liga
Pedri,pedri,baBG8QuI,Barcelona,barcelona,la_liga
